nationality,en_short_name
American,USA
American-Italian,USA
Argentine,Argentina
Argentine-Italian,Argentina
Argentinian ,Argentina
Australian,Australia
Austrian,Austria
Belgian,Belgium
Brazilian,Brazil
British,UK
Canadian,Canada
Chilean,Chile
Chinese,China
Colombian,Colombia
Czech,Czech Republic
Danish,Denmark
Dutch,Netherlands
East German,Germany
Finnish,Finland
French,France
German,Germany
Hungarian,Hungary
Indian,India
Indonesian,Indonesia
Irish,Ireland
Italian,Italy
Japanese,Japan
Liechtensteiner,Liechtenstein
Malaysian,Malaysia
Mexican,Mexico
Monegasque,Monaco
New Zealander,New Zealand
Polish,Poland
Portuguese,Portugal
Rhodesian,Zimbabwe
Russian,Russia
South African,South Africa
Spanish,Spain
Swedish,Sweden
Swiss,Switzerland
Thai,Thailand
Uruguayan,Uruguay
Venezuelan,Venezuela
